*******************************************************************************
 Revised: Nov 22, 2025                 LAGEOS-1                         -108820
 
 LAGEOS-1 (1976-039A, "Laser Geodynamics Satellite", NASA)
 60-cm diameter sphere, 426 corner cube reflectors (VIS), 4 germanium (IR)
 Launched: 1976-May-04, Delta 2914 from Vandenberg Air Force Base
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sat Nov 22 11:12:34 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: LAGEOS-1 (spacecraft) (-108820) {source: LAGEOS-1}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2025-Nov-14 00:00:00.0000 TDB
Stop  time      : A.D. 2025-Nov-21 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Keplerian GM    : 3.9860043550702260E+05 km^3/s^2
Output units    : KM-S, deg, Julian Day Number (Tp)
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC osculating elements
Output format   : 10
EOP file        : eop.251121.p260217
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2025-NOV-21. PREDICTS-> 2026-FEB-16
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2460993.500000000, A.D. 2025-Nov-14 00:00:00.0000,  4.221726218578687E-03,  1.222285429009195E+04,  1.143435434128677E+02,  9.580080033715092E+01,  3.300760842963003E+02,  2.460993573657641E+06,  2.659968751820729E-02,  1.907190521619858E+02,  1.906295376533630E+02,  1.227467460569935E+04,  1.232649492130674E+04,  1.353399357618704E+04,
2460993.500694444, A.D. 2025-Nov-14 00:01:00.0000,  4.228684393797132E-03,  1.222271182718541E+04,  1.143435907456627E+02,  9.580078547098468E+01,  3.299326887347524E+02,  2.460993573594149E+06,  2.659987376274812E-02,  1.924597778070155E+02,  1.923557664743135E+02,  1.227461730984338E+04,  1.232652279250135E+04,  1.353389881512006E+04,
2460993.501388889, A.D. 2025-Nov-14 00:02:00.0000,  4.237022855935343E-03,  1.222253851661286E+04,  1.143436501163280E+02,  9.580076813261287E+01,  3.297988906047536E+02,  2.460993573534727E+06,  2.660010540533113E-02,  1.941908924192011E+02,  1.940724721245711E+02,  1.227454604876772E+04,  1.232655358092258E+04,  1.353378095741867E+04,
2460993.502083333, A.D. 2025-Nov-14 00:03:00.0000,  4.246674554835034E-03,  1.222233539336247E+04,  1.143437216319594E+02,  9.580074905371055E+01,  3.296762131250797E+02,  2.460993573480043E+06,  2.660038175800294E-02,  1.959108703711433E+02,  1.957781418005214E+02,  1.227446103471290E+04,  1.232658667606333E+04,  1.353364035430398E+04,
2460993.502777778, A.D. 2025-Nov-14 00:04:00.0000,  4.257562876423615E-03,  1.222210365102316E+04,  1.143438053629258E+02,  9.580072897142981E+01,  3.295660636045607E+02,  2.460993573430717E+06,  2.660070199886664E-02,  1.976183019932640E+02,  1.974713785524411E+02,  1.227436252122529E+04,  1.232662139142743E+04,  1.353347742534533E+04,
2460993.503472222, A.D. 2025-Nov-14 00:05:00.0000,  4.269602414014732E-03,  1.222184463158005E+04,  1.143439013426397E+02,  9.580070862619645E+01,  3.294697215726319E+02,  2.460993573387314E+06,  2.660106517439021E-02,  1.993119054503567E+02,  1.991509131463617E+02,  1.227425080243636E+04,  1.232665697329266E+04,  1.353329265726490E+04,
2460993.504166667, A.D. 2025-Nov-14 00:06:00.0000,  4.282699805393814E-03,  1.222155981428369E+04,  1.143440095674384E+02,  9.580068875949532E+01,  3.293883291815696E+02,  2.460993573350336E+06,  2.660147020209334E-02,  2.009905363463019E+02,  2.008156136542754E+02,  1.227412621222416E+04,  1.232669261016463E+04,  1.353308660254690E+04,
2460993.504861111, A.D. 2025-Nov-14 00:07:00.0000,  4.296754620949116E-03,  1.222125080377657E+04,  1.143441299965724E+02,  9.580067011165066E+01,  3.293228839180850E+02,  2.460993573320225E+06,  2.660191587360528E-02,  2.026531950192397E+02,  2.024644927349997E+02,  1.227398912325942E+04,  1.232672744274226E+04,  1.353285987785549E+04,
