*******************************************************************************
USER DATA                      COSMOS 249 DEB               Wed Nov-26 02:55:26
Local ID: -803509              (TLE ID =  3509)
 
Geocentric SGP4/SDP4 Two-Line Elements (TLEs):
 
1 03509U 68091F   25068.82590462  .00100969  00000-0  23959-2 0  9993
2 03509  62.3288 190.8577 0159807  65.5135 296.2542 15.28917789837409
1 03509U 68091F   25069.80687919  .00087704  00000-0  20732-2 0  9993
2 03509  62.3291 187.3332 0159616  65.7088 296.0597 15.29100459837553
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Wed Nov 26 02:55:26 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: COSMOS 249 DEB (-803509)        {source: USER-INPUT TLE}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2025-Mar-09 00:00:00.0000 TDB
Stop  time      : A.D. 2025-Mar-11 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Keplerian GM    : 3.9860043550702260E+05 km^3/s^2
Output units    : KM-S, deg, Julian Day Number (Tp)
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC osculating elements
Output format   : 10
EOP file        : eop.251124.p260221
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2025-NOV-24. PREDICTS-> 2026-FEB-20
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2460743.500000000, A.D. 2025-Mar-09 00:00:00.0000,  1.711919159340791E-02,  6.738799660000907E+03,  8.518453371536484E+01,  1.918938387396668E+02,  7.070161888526455E+01,  2.460743487970524E+06,  6.371900444337308E-02,  6.622613564344459E+01,  6.803670087981651E+01,  6.856171778270435E+03,  6.973543896539963E+03,  5.649805786277328E+03,
2460743.500694444, A.D. 2025-Mar-09 00:01:00.0000,  1.718657385864029E-02,  6.739350530157508E+03,  8.518696919434396E+01,  1.918918628317278E+02,  7.114724105279514E+01,  2.460743488048983E+06,  6.370464052406409E-02,  6.960164402284792E+01,  7.146117625404322E+01,  6.857202344718657E+03,  6.975054159279805E+03,  5.651079686479227E+03,
2460743.501388889, A.D. 2025-Mar-09 00:02:00.0000,  1.723103899433532E-02,  6.740041718263336E+03,  8.518934897754318E+01,  1.918901841384329E+02,  7.161264256999696E+01,  2.460743488130657E+06,  6.369051891266925E-02,  7.295820616592452E+01,  7.485767957254735E+01,  6.858215903935622E+03,  6.976390089607908E+03,  5.652332657135710E+03,
2460743.502083333, A.D. 2025-Mar-09 00:03:00.0000,  1.725189320036035E-02,  6.740859984503099E+03,  8.519163406481643E+01,  1.918887912023764E+02,  7.208195075368855E+01,  2.460743488212730E+06,  6.367689539756022E-02,  7.631167472993948E+01,  7.824193101237465E+01,  6.859194068004863E+03,  6.977528151506627E+03,  5.653541959801536E+03,
2460743.502777778, A.D. 2025-Mar-09 00:04:00.0000,  1.724934414913618E-02,  6.741786846167646E+03,  8.519378761866398E+01,  1.918876674931855E+02,  7.253948512274511E+01,  2.460743488292427E+06,  6.366401208475912E-02,  7.967769563027998E+01,  8.162949723095818E+01,  6.860119406718298E+03,  6.978451967268949E+03,  5.654686033935684E+03,
2460743.503472222, A.D. 2025-Mar-09 00:05:00.0000,  1.722447755040789E-02,  6.742799028400756E+03,  8.519577560151005E+01,  1.918867917999189E+02,  7.297012566563910E+01,  2.460743488367081E+06,  6.365209323539484E-02,  8.307134064326019E+01,  8.503542305244837E+01,  6.860975751201214E+03,  6.979152474001671E+03,  5.655744873442997E+03,
2460743.504166667, A.D. 2025-Mar-09 00:06:00.0000,  1.717921284091639E-02,  6.743869024785789E+03,  8.519756734389696E+01,  1.918861387000954E+02,  7.335967463099716E+01,  2.460743488434197E+06,  6.364134161423499E-02,  8.650674671621911E+01,  8.847386944835877E+01,  6.861748462076635E+03,  6.979627899367481E+03,  5.656700359683759E+03,
2460743.504861111, A.D. 2025-Mar-09 00:07:00.0000,  1.711623812540616E-02,  6.744965763898742E+03,  8.519913603546904E+01,  1.918856790934043E+02,  7.369522523315558E+01,  2.460743488491516E+06,  6.363193539389568E-02,  8.999674856354439E+01,  9.195774443161579E+01,  6.862424658470787E+03,  6.979883553042832E+03,  5.657536546256542E+03,
