*******************************************************************************
 Revised: Nov 07, 2025  Chandra Spacecraft (X-ray observatory) / (Earth)   -151
                          http://xrtpub.harvard.edu/index.html

 Chandra X-ray Observatory:
  Deployment (STS-93)    = July 23, 1999   Data storage             = 1.8 gbs
  Science mission        = ~5 years        Length (sun shade open)  = 45.3 m
  Orbital check-out      = 2 months        Length (sun shade clsd)  = 38.7 m

 ORBITAL DATA:
  Inclination            = 28.5 degrees    Orbital period           = ~64 hours 
  Apogee altitude        = ~ 86,487 km     Observing time / orbit   = ~55 hours
  Perigee altitude       = ~  5,999 km   

 WEIGHTS & PROPULSION:
  Dry                    = 10,560 lbs      Propellant               = 2,153 lbs
  Pressurant             = 10 lb           Total launch weight      = 12,930 lb
  Engines                = 4               Thrust per engine        = 105 lb

 SPACECRAFT TRAJECTORY (from CFA): 
  Trajectory after 2025-Nov-04 is a prediction

  Trajectory name               Start        Stop
  ----------------------------  -----------  -----------
  cxo_99219_06045               1999-Aug-07  2006-Feb-14
  cxo_06002_10103               2006-Feb-03  2010-Feb-25 
  CXO_10056_26125               2010-Feb-25  2026-May-05
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Fri Nov 14 10:33:30 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Chandra Observatory (spacecraft) (-151) {source: chandra_merged}
Center body name: Earth (399)                     {source: chandra_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2025-Nov-14 00:00:00.0000 TDB
Stop  time      : A.D. 2025-Nov-21 00:00:00.0000 TDB
Step-size       : 5 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Keplerian GM    : 3.9860043550702260E+05 km^3/s^2
Output units    : KM-S, deg, Julian Day Number (Tp)
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC osculating elements
Output format   : 10
EOP file        : eop.251113.p260209
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2025-NOV-13. PREDICTS-> 2026-FEB-08
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2460993.500000000, A.D. 2025-Nov-14 00:00:00.0000,  8.208466162624204E-01,  1.447619949926354E+04,  6.728086997678221E+01,  1.340749204408657E+02,  2.895777572277512E+02,  2.460993026281112E+06,  1.574879030399254E-03,  6.445871508478788E+01,  1.547508661067754E+02,  8.080338309695554E+04,  1.471305666946475E+05,  2.285889855989350E+05,
2460993.503472222, A.D. 2025-Nov-14 00:05:00.0000,  8.208465075728697E-01,  1.447617870676184E+04,  6.728085966816195E+01,  1.340748062034717E+02,  2.895777220728081E+02,  2.460993026280715E+06,  1.574883856643311E-03,  6.493143180237819E+01,  1.549185184538324E+02,  8.080321801513275E+04,  1.471302573235037E+05,  2.285882850861776E+05,
2460993.506944444, A.D. 2025-Nov-14 00:10:00.0000,  8.208463952190240E-01,  1.447615835499024E+04,  6.728084964207834E+01,  1.340746916534339E+02,  2.895776874256958E+02,  2.460993026280309E+06,  1.574888659302041E-03,  6.540415163421467E+01,  1.550848513090346E+02,  8.080305374088376E+04,  1.471299491267773E+05,  2.285875880010113E+05,
2460993.510416667, A.D. 2025-Nov-14 00:15:00.0000,  8.208462791689007E-01,  1.447613844814030E+04,  6.728083989817307E+01,  1.340745767972984E+02,  2.895776532845140E+02,  2.460993026279894E+06,  1.574893438112545E-03,  6.587687455816830E+01,  1.552498882301068E+02,  8.080289028318861E+04,  1.471296421182369E+05,  2.285868943815320E+05,
2460993.513888889, A.D. 2025-Nov-14 00:20:00.0000,  8.208461593915640E-01,  1.447611899025561E+04,  6.728083043606404E+01,  1.340744616415758E+02,  2.895776196471785E+02,  2.460993026279471E+06,  1.574898192822268E-03,  6.634960055240366E+01,  1.554136522010429E+02,  8.080272765067342E+04,  1.471293363110912E+05,  2.285862042643331E+05,
2460993.517361111, A.D. 2025-Nov-14 00:25:00.0000,  8.208460358566835E-01,  1.447609998527198E+04,  6.728082125534559E+01,  1.340743461927410E+02,  2.895775865114625E+02,  2.460993026279038E+06,  1.574902923188247E-03,  6.682232959448245E+01,  1.555761656499506E+02,  8.080256585163611E+04,  1.471290317180002E+05,  2.285855176846157E+05,
2460993.520833333, A.D. 2025-Nov-14 00:30:00.0000,  8.208459085347867E-01,  1.447608143699670E+04,  6.728081235558901E+01,  1.340742304572344E+02,  2.895775538749809E+02,  2.460993026278596E+06,  1.574907628977194E-03,  6.729506166259964E+01,  1.557374504670009E+02,  8.080240489404359E+04,  1.471287283510905E+05,  2.285848346761759E+05,
2460993.524305556, A.D. 2025-Nov-14 00:35:00.0000,  8.208457773972349E-01,  1.447606334911085E+04,  6.728080373634263E+01,  1.340741144414579E+02,  2.895775217351922E+02,  2.460993026278145E+06,  1.574912309965401E-03,  6.776779673448549E+01,  1.558975280208724E+02,  8.080224478553493E+04,  1.471284262219590E+05,  2.285841552714187E+05,
